scenario,rank,alternative_id,alternative,posture,score_gap_to_leader,win_rate,top3_rate,evidence_risk_band,prototype_effort,hardening_effort,pilot_operational_rank,team_rollout_operational_rank,autonomous_pr_operational_rank,key_rationale
quick_local_coding,1,cline,Cline / Cline SDK,Primary pilot candidate,0.0,0.8194,0.9892,low,2-5 days,2-4 weeks,1,1,1,scenario score leader; strong Monte Carlo shortlist stability (99% top-3 rate); credible win-rate signal (82%); low evidence-risk band; stays in the top three after operational-friction adjustment.
quick_local_coding,2,openhands_sdk,OpenHands Software Agent SDK,Head-to-head pilot,0.139,0.1098,0.8166,low,2-5 days,2-4 weeks,2,2,2,0.139 behind the scenario leader; strong Monte Carlo shortlist stability (82% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
quick_local_coding,3,opencode,OpenCode,Fallback or benchmark,0.232,0.0112,0.3792,low,0.5-1 day,2-4 weeks,4,5,5,0.232 behind the scenario leader; fragile Monte Carlo shortlist position (38% top-3 rate); low evidence-risk band; operational friction can push it down in rollout profiles.
quick_local_coding,4,deep_agents,Deep Agents,Fallback or benchmark,0.265,0.032,0.2818,low,2-5 days,2-4 weeks,5,4,4,0.265 behind the scenario leader; fragile Monte Carlo shortlist position (28% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
quick_local_coding,5,codex_cli,Codex CLI,Watchlist only,0.272,0.0066,0.2384,low,1-2 days,1-2 weeks,3,3,3,0.272 behind the scenario leader; fragile Monte Carlo shortlist position (24% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
research_benchmarking,1,mini_swe_agent,mini-SWE-agent,Primary pilot candidate,0.0,0.447,0.7968,low,0.5-1 day,2-4 weeks,1,1,1,scenario score leader; strong Monte Carlo shortlist stability (80% top-3 rate); credible win-rate signal (45%); low evidence-risk band; stays in the top three after operational-friction adjustment.
research_benchmarking,2,swe_agent,SWE-agent,Head-to-head pilot,0.112,0.233,0.7566,low,1-2 days,1-2 weeks,2,2,2,0.112 behind the scenario leader; strong Monte Carlo shortlist stability (76% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
research_benchmarking,3,openhands_sdk,OpenHands Software Agent SDK,Head-to-head pilot,0.17,0.165,0.6402,low,2-5 days,2-4 weeks,3,3,3,0.170 behind the scenario leader; moderate Monte Carlo shortlist stability (64% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
research_benchmarking,4,aider,Aider,Watchlist only,0.31,0.0262,0.2374,low,0.5-1 day,2-4 weeks,5,5,5,0.310 behind the scenario leader; fragile Monte Carlo shortlist position (24% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
research_benchmarking,5,deep_agents,Deep Agents,Fallback or benchmark,0.326,0.0894,0.29,low,2-5 days,2-4 weeks,4,4,4,0.326 behind the scenario leader; fragile Monte Carlo shortlist position (29% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
enterprise_control_plane,1,cline,Cline / Cline SDK,Primary pilot candidate,0.0,0.5084,0.9236,low,2-5 days,2-4 weeks,1,1,1,scenario score leader; strong Monte Carlo shortlist stability (92% top-3 rate); credible win-rate signal (51%); low evidence-risk band; stays in the top three after operational-friction adjustment.
enterprise_control_plane,2,openhands_sdk,OpenHands Software Agent SDK,Head-to-head pilot,0.064,0.2012,0.7814,low,2-5 days,2-4 weeks,2,2,2,0.064 behind the scenario leader; strong Monte Carlo shortlist stability (78% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
enterprise_control_plane,3,deep_agents,Deep Agents,Fallback or benchmark,0.092,0.1574,0.5328,low,2-5 days,2-4 weeks,3,3,3,0.092 behind the scenario leader; moderate Monte Carlo shortlist stability (53% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
enterprise_control_plane,4,codex_cli,Codex CLI,Watchlist only,0.187,0.0168,0.216,low,1-2 days,1-2 weeks,4,4,4,0.187 behind the scenario leader; fragile Monte Carlo shortlist position (22% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
enterprise_control_plane,5,open_swe,Open SWE,Watchlist only,0.21,0.033,0.1696,low,1-2 weeks,6-12 weeks,5,5,5,0.210 behind the scenario leader; fragile Monte Carlo shortlist position (17% top-3 rate); low evidence-risk band; 6-12 weeks hardening estimate; operational rank is broadly consistent with simulation rank.
